ID,VendorID,Vendor,AccountCode,AccountDescription,DocNo,Amount,Date,Source
30,,WATERFRONT CONFERENCE COMPANY,,Consultancy Fees,,10028.63,2008-04-01,703-april_2008
31,,WANDSWORTH COUNCIL,,Grants to Other Bodies,,1500.00,2008-04-01,702-april_2008
32,,VOLTERRA CONSULTING,,Consultancy Fees,,18800.00,2008-04-01,701-april_2008
33,,VOLTERRA CONSULTING,,Consultancy Fees,,18800.00,2008-04-01,700-april_2008
34,,VODAFONE CORPORATE LIMITED,,Capital Expenditure - IT Software,,5875.00,2008-04-01,699-april_2008
35,,VODAFONE CORPORATE LIMITED,,Telephones,,7772.62,2008-04-01,698-april_2008
36,,VISIT LONDON LTD,,Other Supplies & Services,,2639.00,2008-04-01,697-april_2008
37,,VEOLIA ES ONYX LTD,,Cleaning Charges,,-1175.00,2008-04-01,696-april_2008
38,,VEOLIA ES ONYX LTD,,Litter Clearing Contract,,5753.48,2008-04-01,695-april_2008
39,,VEOLIA ES ONYX LTD,,Litter Clearing Contract,,17962.27,2008-04-01,694-april_2008
40,,VEOLIA ES ONYX LTD,,Cleaning Charges,,24959.94,2008-04-01,693-april_2008
41,,VEOLIA ES ONYX LTD,,Managing Agent Cleaning,,26549.72,2008-04-01,692-april_2008
42,,VEOLIA ES ONYX LTD,,Litter Clearing Contract,,26549.72,2008-04-01,691-april_2008
43,,VEOLIA ES ONYX LTD,,Litter Clearing Contract,,30352.78,2008-04-01,690-april_2008
44,,VEOLIA ES ONYX LTD,,Litter Clearing Contract,,30352.78,2008-04-01,689-april_2008
45,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1010.62,2008-04-01,688-april_2008
46,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1010.62,2008-04-01,687-april_2008
47,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1212.74,2008-04-01,686-april_2008
48,,VENN GROUP LIMITED,,Legal Fees,,1348.31,2008-04-01,685-april_2008
49,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1383.56,2008-04-01,684-april_2008
50,,VENN GROUP LIMITED,,Legal Fees,,1410.00,2008-04-01,683-april_2008
51,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1410.00,2008-04-01,682-april_2008
52,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1410.00,2008-04-01,681-april_2008
53,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1410.00,2008-04-01,680-april_2008
54,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1410.00,2008-04-01,679-april_2008
55,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1410.00,2008-04-01,678-april_2008
56,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1410.00,2008-04-01,677-april_2008
57,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1462.88,2008-04-01,676-april_2008
58,,VAN VYNCK ENVIRONMENTAL SERVICES LIMITED,,Pest Control,,5499.00,2008-04-01,675-april_2008
59,,VAN VYNCK ENVIRONMENTAL SERVICES LIMITED,,Pest Control,,5616.50,2008-04-01,674-april_2008
60,,URBAN DESIGN PLUS LTD,,Consultancy Fees,,8253.20,2008-04-01,673-april_2008
61,,URBAN DESIGN PLUS LTD,,Consultancy Fees,,8273.23,2008-04-01,672-april_2008
62,,UNREAL LTD,,Other External Services,,1838.88,2008-04-01,671-april_2008
63,,UNREAL LTD,,Publications Printing,,1887.05,2008-04-01,670-april_2008
64,,UNREAL LTD,,Other Supplies & Services,,2332.38,2008-04-01,669-april_2008
65,,UNREAL LTD,,Other External Services,,2373.50,2008-04-01,668-april_2008
66,,UNREAL LTD,,Other Supplies & Services,,2573.25,2008-04-01,667-april_2008
67,,UNREAL LTD,,Other Supplies & Services,,3689.50,2008-04-01,666-april_2008
68,,UNREAL LTD,,Other External Services,,3877.50,2008-04-01,665-april_2008
69,,UNREAL LTD,,Other External Services,,4012.63,2008-04-01,664-april_2008
70,,UNREAL LTD,,Publications Printing,,4042.00,2008-04-01,663-april_2008
71,,UNREAL LTD,,Other Supplies & Services,,8001.75,2008-04-01,662-april_2008
72,,UNREAL LTD,,Other External Services,,12601.88,2008-04-01,661-april_2008
73,,UNREAL LTD,,Other External Services,,14746.25,2008-04-01,660-april_2008
74,,UNIVERSITY OF YORK,,Consultancy Fees,,38225.00,2008-04-01,659-april_2008
75,,UNIVERSITY OF MANCHESTER,,IT Software - Purchase (Revenue),,2350.00,2008-04-01,658-april_2008
76,,UNIVERSITY OF EAST LONDON,,Consultancy Fees,,21200.00,2008-04-01,657-april_2008
77,,UNIVERSITY OF EAST LONDON,,Grants to Other Bodies,,78045.00,2008-04-01,656-april_2008
78,,TRANSPORT FOR LONDON,,Legal Fees,,82680.96,2008-04-01,655-april_2008
79,,TRADE WINDS,,Publications Printing,,1061.00,2008-04-01,654-april_2008
80,,TRADE WINDS,,Other Supplies & Services,,1331.28,2008-04-01,653-april_2008
81,,TRADE WINDS,,Other Printing,,1865.00,2008-04-01,652-april_2008
82,,TRADE WINDS,,Publications Printing,,1930.00,2008-04-01,651-april_2008
83,,TRADE WINDS,,Photos & Display Materials,,2273.00,2008-04-01,650-april_2008
84,,TRADE WINDS,,Other Printing,,2325.00,2008-04-01,649-april_2008
85,,TRADE WINDS,,Publications Printing,,4176.00,2008-04-01,648-april_2008
86,,TRACEY ADAMSON,,Consultancy Fees,,1200.00,2008-04-01,647-april_2008
87,,TNS MEDIA INTELLIGENCE,,Other External Services,,17625.00,2008-04-01,646-april_2008
88,,TMP WORLDWIDE LTD,,Recruitment Advertising,,2467.50,2008-04-01,645-april_2008
89,,TMP WORLDWIDE LTD,,Recruitment Advertising,,2467.50,2008-04-01,644-april_2008
90,,THREE DRAGONS (AG) LTD,,Training Courses,,-1621.50,2008-04-01,643-april_2008
91,,THREE DRAGONS (AG) LTD,,Training Courses,,1621.50,2008-04-01,642-april_2008
92,,THE ROYAL SOCIETY OF ST GEORGE,,Other Supplies & Services,,5000.00,2008-04-01,641-april_2008
93,,THE ROYAL SOCIETY OF ST GEORGE,,Other Supplies & Services,,10000.00,2008-04-01,640-april_2008
94,,THE PROFILE GROUP (UK) LTD,,Other External Services,,4755.25,2008-04-01,639-april_2008
95,,THE NATIONAL DINING ROOMS,,Catering Charges,,2573.08,2008-04-01,638-april_2008
96,,THE MENTAL HEALTH COMPANY,,Consultancy Fees,,1500.00,2008-04-01,637-april_2008
97,,THE LONDON ORGANISING COMM OF THE OLYMPI,,Other Supplies & Services,,2317.83,2008-04-01,636-april_2008
98,,THE LOKAHI FOUNDATION,,Grants to Other Bodies,,75000.00,2008-04-01,635-april_2008
99,,THE GEOINFORMATION GROUP,,Data Purchase,,5581.25,2008-04-01,634-april_2008
100,,THE GEOINFORMATION GROUP,,Capital Expenditure - IT Software,,7050.00,2008-04-01,633-april_2008
101,,THE ECONOMIST,,Recruitment Advertising,,5463.75,2008-04-01,632-april_2008
102,,THE COPYRIGHT LICENCING AGENCY LTD,,Other Supplies & Services,,6605.64,2008-04-01,631-april_2008
103,,THE ARTS COUNCIL OF ENGLAND,,Grants to Other Bodies,,20804.00,2008-04-01,630-april_2008
104,,THAMES WATER UTILITIES LTD,,Water & Sewage Charges,,1461.93,2008-04-01,629-april_2008
105,,THAMES WATER UTILITIES LTD,,Other Supplies & Services,,2579.27,2008-04-01,628-april_2008
106,,TENET EDUCATION SERVICES LTD,,Consultancy Fees,,3525.00,2008-04-01,627-april_2008
107,,TEAMEX,,Other External Services,,9431.67,2008-04-01,626-april_2008
108,,TATE ENTERTAINING,,Catering Charges,,1067.44,2008-04-01,625-april_2008
109,,TAGISH LTD,,Other Supplies & Services,,6168.75,2008-04-01,624-april_2008
110,,SYSTEMS ACCOUNTANTS,,Temporary Agency Staff Costs,,1880.00,2008-04-01,623-april_2008
111,,SYSTEMS ACCOUNTANTS,,Temporary Agency Staff Costs,,2350.00,2008-04-01,622-april_2008
112,,SYSTEMS ACCOUNTANTS,,Temporary Agency Staff Costs,,2350.00,2008-04-01,621-april_2008
113,,SYSTEMS ACCOUNTANTS,,Temporary Agency Staff Costs,,2820.00,2008-04-01,620-april_2008
114,,SYSTEMS ACCOUNTANTS,,Temporary Agency Staff Costs,,4230.00,2008-04-01,619-april_2008
115,,SYSTEMS ACCOUNTANTS,,Temporary Agency Staff Costs,,5170.00,2008-04-01,618-april_2008
116,,SYSTEM ASSOCIATES LTD,,Other External Services,,8971.13,2008-04-01,617-april_2008
117,,SYSTEM ASSOCIATES LTD,,IT Software - Purchase (Revenue),,11750.00,2008-04-01,616-april_2008
118,,SYKES & SON LTD,,Equipment Purchase/Hire,,2304.40,2008-04-01,615-april_2008
119,,SYKES & SON LTD,,Fabric Repairs & Maintenance,,6292.04,2008-04-01,614-april_2008
120,,SWETS INFORMATION SERVICES LTD,,"Journals, Serials & Newspapers",,1215.79,2008-04-01,613-april_2008
121,,SWETS INFORMATION SERVICES LTD,,"Journals, Serials & Newspapers",,3947.02,2008-04-01,612-april_2008
122,,SWAN AT THE GLOBE LTD,,Other Supplies & Services,,50000.00,2008-04-01,611-april_2008
123,,SWAN AT THE GLOBE LTD,,Other External Services,,50000.00,2008-04-01,610-april_2008
124,,SUSTAINABLE ENTERPRISE LTD,,Consultancy Fees,,6623.48,2008-04-01,609-april_2008
125,,SUSTAINABLE ENTERPRISE LTD,,Consultancy Fees,,6634.78,2008-04-01,608-april_2008
126,,SUSTAINABLE ENTERPRISE LTD,,Consultancy Fees,,6637.88,2008-04-01,607-april_2008
127,,SUSAN HAMILTON GROUP LTD.,,Temporary Agency Staff Costs,,1140.93,2008-04-01,606-april_2008
128,,SUSAN HAMILTON GROUP LTD.,,Temporary Agency Staff Costs,,1140.93,2008-04-01,605-april_2008
129,,SUSAN HAMILTON GROUP LTD.,,Temporary Agency Staff Costs,,1140.93,2008-04-01,604-april_2008
130,,SUSAN HAMILTON GROUP LTD.,,Temporary Agency Staff Costs,,1825.48,2008-04-01,603-april_2008
131,,STOPGAP LTD,,Temporary Agency Staff Costs,,1807.73,2008-04-01,602-april_2008
132,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1023.98,2008-04-01,601-april_2008
133,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1043.03,2008-04-01,600-april_2008
134,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1044.73,2008-04-01,599-april_2008
135,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,"Books, Publications & Information",,1124.25,2008-04-01,598-april_2008
136,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1147.90,2008-04-01,597-april_2008
137,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1152.99,2008-04-01,596-april_2008
138,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1166.74,2008-04-01,595-april_2008
139,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1194.46,2008-04-01,594-april_2008
140,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1225.11,2008-04-01,593-april_2008
141,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Publications Printing,,1771.90,2008-04-01,592-april_2008
142,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Publications Printing,,3785.63,2008-04-01,591-april_2008
143,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Publications Printing,,4082.89,2008-04-01,590-april_2008
144,,SPRING TECHNOLOGY,,Temporary Agency Staff Costs,,6756.25,2008-04-01,589-april_2008
145,,SPRING TECHNOLOGY,,Capital Expenditure - Consultancy,,7813.75,2008-04-01,588-april_2008
146,,SPIRIT PRODUCTIONS,,Other Supplies & Services,,2937.50,2008-04-01,587-april_2008
147,,SPIRIT PRODUCTIONS,,Other Supplies & Services,,2937.50,2008-04-01,586-april_2008
148,,SPIRIT PRODUCTIONS,,Other Supplies & Services,,2937.50,2008-04-01,585-april_2008
149,,SPIRIT PRODUCTIONS,,Other Supplies & Services,,2937.50,2008-04-01,584-april_2008
150,,SPEECHLY BIRCHAM,,Legal Fees,,5518.29,2008-04-01,583-april_2008
151,,SPEECHLY BIRCHAM,,Consultancy Fees,,5518.29,2008-04-01,582-april_2008
152,,SPACEWORKS FURNITURE HIRE LTD,,Other External Services,,10817.17,2008-04-01,581-april_2008
153,,SPACEWORKS FURNITURE HIRE LTD,,Other External Services,,14460.88,2008-04-01,580-april_2008
154,,SOUTHBANK CAFE LTD,,Other Supplies & Services,,1666.08,2008-04-01,579-april_2008
155,,SOUTHBANK CAFE LTD,,Other Supplies & Services,,3820.23,2008-04-01,578-april_2008
156,,SOUTH LONDON & MAUDSLEY NHS,,Grants to Other Bodies,,28202.08,2008-04-01,577-april_2008
157,,SOUTH BANK UNI ENTERPRISES LTD,,Consultancy Fees,,7676.66,2008-04-01,576-april_2008
158,,SOUTH BANK UNI ENTERPRISES LTD,,Consultancy Fees,,11485.63,2008-04-01,575-april_2008
159,,SOUTH BANK UNI ENTERPRISES LTD,,Consultancy Fees,,11485.63,2008-04-01,574-april_2008
160,,SOUTH BANK UNI ENTERPRISES LTD,,Consultancy Fees,,15353.33,2008-04-01,573-april_2008
161,,SOMERSET HOUSE TRUST,,Other Supplies & Services,,3000.00,2008-04-01,572-april_2008
162,,SLINGSBY,,Equipment Purchase/Hire,,2452.81,2008-04-01,571-april_2008
163,,SKYERS MORRIS ASSOCIATES,,Other Supplies & Services,,11750.00,2008-04-01,570-april_2008
164,,SHERRY DESIGN LTD,,Publications Design,,1645.00,2008-04-01,569-april_2008
165,,SHERRY DESIGN LTD,,Publications Design,,1656.28,2008-04-01,568-april_2008
166,,SHERRY DESIGN LTD,,Publications Design,,1761.15,2008-04-01,567-april_2008
167,,SHERRY DESIGN LTD,,Publications Design,,1849.92,2008-04-01,566-april_2008
168,,SHERRY DESIGN LTD,,Publications Printing,,2476.80,2008-04-01,565-april_2008
169,,SHAW & SONS LTD,,Other Supplies & Services,,7470.65,2008-04-01,564-april_2008
170,,SHAW & SONS LTD,,Other Supplies & Services,,8920.60,2008-04-01,563-april_2008
171,,SFW LIMITED,,Capital Expenditure - Consultancy,,11133.13,2008-04-01,562-april_2008
172,,SERVICE GRAPHICS LTD,,Other Supplies & Services,,4970.25,2008-04-01,561-april_2008
173,,SECURE-OPS LTD,,Other External Services,,16993.79,2008-04-01,560-april_2008
174,,SAVILLS (L&P) LTD,,Consultancy Fees,,22936.00,2008-04-01,559-april_2008
175,,SATIS,,Translation Fees,,4015.33,2008-04-01,558-april_2008
176,,SARAH HUCKSTEPP,,Consultancy Fees,,1500.00,2008-04-01,557-april_2008
177,,"ROYAL PARKS, THE",,Other External Services,,3743.26,2008-04-01,556-april_2008
178,,ROYAL MAIL GROUP PLC,,Postage,,1285.28,2008-04-01,555-april_2008
179,,ROYAL MAIL GROUP PLC,,Postage,,1961.25,2008-04-01,554-april_2008
180,,ROFFEY PARK INSTITUTE,,Training Courses,,2256.01,2008-04-01,553-april_2008
181,,ROFFEY PARK INSTITUTE,,Training Courses,,4112.50,2008-04-01,552-april_2008
182,,ROBIN THOMPSON AND ASSOCIATES,,Consultancy Fees,,1541.00,2008-04-01,551-april_2008
183,,ROBIN ALLEN QC,,Legal Fees,,3190.12,2008-04-01,550-april_2008
184,,RHUBARBNET LTD,,Publications Other Costs,,1468.75,2008-04-01,549-april_2008
185,,RESPONSE ANALYSIS & MAILING LTD,,Other Supplies & Services,,1709.29,2008-04-01,548-april_2008
186,,RESOURCE FUTURES LTD,,Consultancy Fees,,29278.65,2008-04-01,547-april_2008
187,,REED LEARNING PLC TRAINING ACCOUNT,,Training Courses,,1051.63,2008-04-01,546-april_2008
188,,RECRUIT MEDIA,,Temporary Agency Staff Costs,,1321.88,2008-04-01,545-april_2008
189,,RACHEL TERRY,,Consultancy Fees,,5860.31,2008-04-01,544-april_2008
190,,RACHEL TERRY,,Consultancy Fees,,11720.62,2008-04-01,543-april_2008
191,,R P EALES T/A COLLINGWOOD ENVIRONMENT,,Consultancy Fees,,7807.65,2008-04-01,542-april_2008
192,,R P EALES T/A COLLINGWOOD ENVIRONMENT,,Consultancy Fees,,8542.03,2008-04-01,541-april_2008
193,,QUESTMARK LTD,,Capital Expenditure - IT Hardware,,15533.50,2008-04-01,540-april_2008
194,,QUEEN ELIZABETH 2 CONFERENCE CENTRE,,Other External Services,,30493.96,2008-04-01,539-april_2008
195,,QUEEN ELIZABETH 2 CONFERENCE CENTRE,,Hire of Premises,,30493.96,2008-04-01,538-april_2008
196,,QUANTITUM SOLUTIONS LTD,,Publications Printing,,5640.00,2008-04-01,537-april_2008
197,,PUBLICITY & DISPLAY,,Other Supplies & Services,,2554.47,2008-04-01,536-april_2008
198,,PRICEWATERHOUSECOOPERS,,Consultancy Fees,,2232.50,2008-04-01,535-april_2008
199,,PRICEWATERHOUSE COOPER,,Consultancy Fees,,5264.00,2008-04-01,534-april_2008
200,,PRESENTATION SERVICES LTD,,Training Courses,,2484.68,2008-04-01,533-april_2008
201,,PREMIER MARKETING,,Other Supplies & Services,,1586.25,2008-04-01,532-april_2008
202,,PREMIER MARKETING,,Other External Services,,1586.25,2008-04-01,531-april_2008
203,,POSTURITE UK LTD,,Equipment Purchase/Hire,,2376.56,2008-04-01,530-april_2008
204,,PM ASSOCIATES,,Consultancy Fees,,6600.00,2008-04-01,529-april_2008
205,,PIVOTAL SOLUTIONS LTD,,IT Software - Maintenance,,2203.13,2008-04-01,528-april_2008
206,,PIPERS PROJECTS LTD,,Hospitality,,3486.93,2008-04-01,527-april_2008
207,,PHS GROUP PLC,,Stationery & Consumables,,1386.50,2008-04-01,526-april_2008
208,,PECAL PRINT,,Other Printing,,1747.81,2008-04-01,525-april_2008
209,,PEARN KANDOLA,,Training Courses,,4126.34,2008-04-01,524-april_2008
210,,PAWSON MEDIA LTD,,Advertising,,1004.64,2008-04-01,523-april_2008
211,,PAWSON MEDIA LTD,,Public Information,,1120.69,2008-04-01,522-april_2008
212,,PAWSON MEDIA LTD,,Other Supplies & Services,,1374.71,2008-04-01,521-april_2008
213,,PAWSON MEDIA LTD,,Advertising,,2538.00,2008-04-01,520-april_2008
214,,PAWSON MEDIA LTD,,Public Information,,2822.40,2008-04-01,519-april_2008
215,,PAWSON MEDIA LTD,,Other Supplies & Services,,2937.50,2008-04-01,518-april_2008
216,,PAWSON MEDIA LTD,,Advertising,,3672.88,2008-04-01,517-april_2008
217,,PAWSON MEDIA LTD,,Advertising,,4527.22,2008-04-01,516-april_2008
218,,PAWSON MEDIA LTD,,Other Supplies & Services,,4886.29,2008-04-01,515-april_2008
219,,PAWSON MEDIA LTD,,Advertising,,4966.48,2008-04-01,514-april_2008
220,,PAWSON MEDIA LTD,,Advertising,,5289.64,2008-04-01,513-april_2008
221,,PAWSON MEDIA LTD,,Other Supplies & Services,,17333.16,2008-04-01,512-april_2008
222,,PAWSON MEDIA LTD,,Advertising,,18800.00,2008-04-01,511-april_2008
223,,PAWSON MEDIA LTD,,Other Supplies & Services,,99875.00,2008-04-01,510-april_2008
224,,PAUL STINCHCOMBE,,Legal Fees,,11750.00,2008-04-01,509-april_2008
225,,PAUL FITZGERALD,,Other Supplies & Services,,1500.00,2008-04-01,508-april_2008
226,,PARK VILLAGE LTD,,Other Supplies & Services,,1693.47,2008-04-01,507-april_2008
227,,PARK VILLAGE LTD,,Other Supplies & Services,,3525.00,2008-04-01,506-april_2008
228,,PAKFLATT (UK) LTD,,Other Supplies & Services,,76375.00,2008-04-01,505-april_2008
229,,OSBORNE RICHARDSON,,Temporary Agency Staff Costs,,1002.43,2008-04-01,504-april_2008
230,,OSBORNE RICHARDSON,,Temporary Agency Staff Costs,,1015.79,2008-04-01,503-april_2008
231,,OSBORNE RICHARDSON,,Temporary Agency Staff Costs,,1038.11,2008-04-01,502-april_2008
232,,OSBORNE RICHARDSON,,Temporary Agency Staff Costs,,1302.19,2008-04-01,501-april_2008
233,,OSBORNE RICHARDSON,,Temporary Agency Staff Costs,,1338.62,2008-04-01,500-april_2008
234,,OSBORNE RICHARDSON,,Temporary Agency Staff Costs,,1347.73,2008-04-01,499-april_2008
235,,OSBORNE RICHARDSON,,Temporary Agency Staff Costs,,1420.58,2008-04-01,498-april_2008
236,,OSBORNE RICHARDSON,,Temporary Agency Staff Costs,,1493.43,2008-04-01,497-april_2008
237,,OSBORNE RICHARDSON,,Temporary Agency Staff Costs,,1529.85,2008-04-01,496-april_2008
238,,ORACLE CORPORATION UK LTD,,IT Software - Maintenance,,2731.26,2008-04-01,495-april_2008
239,,ORACLE CORPORATION UK LTD,,IT Software - Maintenance,,2784.82,2008-04-01,494-april_2008
240,,OPTICHROME,,Publications Printing,,2250.00,2008-04-01,493-april_2008
241,,OPINION RESEARCH SERVICES LTD,,Consultancy Fees,,34858.33,2008-04-01,492-april_2008
242,,OPEN IQ,,Capital Expenditure - Consultancy,,2467.50,2008-04-01,491-april_2008
243,,ON YOUR BIKE MOBILES LTD,,Other Supplies & Services,,4698.83,2008-04-01,490-april_2008
244,,OFFICE FOR PUBLIC MANAGEMENT,,Consultancy Fees,,7520.00,2008-04-01,489-april_2008
245,,OCS SUPPORT SERVICES LTD,,Window Cleaning,,12245.73,2008-04-01,488-april_2008
246,,OCS SUPPORT SERVICES LTD,,Trafalgar Sqr Toilet Management,,12766.83,2008-04-01,487-april_2008
247,,OCS RESOLUTION SECURITY,,Training Courses,,-2162.00,2008-04-01,486-april_2008
248,,OCS RESOLUTION SECURITY,,Temporary Agency Staff Costs,,3469.02,2008-04-01,485-april_2008
249,,OCS RESOLUTION SECURITY,,Temporary Agency Staff Costs,,6153.99,2008-04-01,484-april_2008
250,,OCS RESOLUTION SECURITY,,Training Courses,,7972.38,2008-04-01,483-april_2008
251,,NORTHGATE HR LIMITED,,Payroll Contract Fees,,7841.09,2008-04-01,482-april_2008
252,,NORTHGATE HR LIMITED,,Payroll Contract Fees,,7841.09,2008-04-01,481-april_2008
253,,NORTHGATE HR LIMITED,,Payroll Contract Fees,,7841.09,2008-04-01,480-april_2008
254,,NORLAND MANAGED SERVICES LTD,,Litter Clearing Contract,,4573.76,2008-04-01,479-april_2008
255,,NORLAND MANAGED SERVICES LTD,,M&E Maintenance Works,,7178.10,2008-04-01,478-april_2008
256,,NORLAND MANAGED SERVICES LTD,,M&E Maintenance Works,,7179.44,2008-04-01,477-april_2008
257,,NORLAND MANAGED SERVICES LTD,,Repairs & Maintenance,,37487.66,2008-04-01,476-april_2008
258,,NORLAND MANAGED SERVICES LTD,,Capital Expenditure - Fixtures & Fittng,,80508.91,2008-04-01,475-april_2008
259,,NINE NINE CARS LIMITED,,Other Supplies & Services,,4700.00,2008-04-01,474-april_2008
260,,NIALL SOOKOO,,Temporary Agency Staff Costs,,2340.00,2008-04-01,473-april_2008
261,,NEXUS SISTEMI INFORMATIVI,,"Books, Publications & Information",,4345.65,2008-04-01,472-april_2008
262,,NETGAIN MARKETING LTD,,Other Supplies & Services,,1960.00,2008-04-01,471-april_2008
263,,NCC GROUP,,Other External Services,,1169.13,2008-04-01,470-april_2008
264,,"NATIONAL GALLERY, THE",,Other Supplies & Services,,5548.35,2008-04-01,469-april_2008
265,,"NATIONAL GALLERY, THE",,Other Supplies & Services,,10197.54,2008-04-01,468-april_2008
266,,N A C A B,,Other Supplies & Services,,5540.00,2008-04-01,467-april_2008
267,,MWL PRINT GROUP LIMITED,,Other Printing,,4010.00,2008-04-01,466-april_2008
268,,MRF (UK),,Consultancy Fees,,3632.05,2008-04-01,465-april_2008
269,,MOVING VENUE CATERERS,,Catering Charges,,5875.00,2008-04-01,464-april_2008
270,,MORGAN LAW,,Temporary Agency Staff Costs,,1465.70,2008-04-01,463-april_2008
271,,MORGAN LAW,,Temporary Agency Staff Costs,,1477.33,2008-04-01,462-april_2008
272,,MORGAN LAW,,Temporary Agency Staff Costs,,1651.82,2008-04-01,461-april_2008
273,,MORGAN LAW,,Temporary Agency Staff Costs,,1692.00,2008-04-01,460-april_2008
274,,MORGAN LAW,,Temporary Agency Staff Costs,,1837.94,2008-04-01,459-april_2008
275,,MORGAN LAW,,Temporary Agency Staff Costs,,1861.20,2008-04-01,458-april_2008
276,,MORGAN LAW,,Temporary Agency Staff Costs,,1884.47,2008-04-01,457-april_2008
277,,MORGAN LAW,,Temporary Agency Staff Costs,,1907.73,2008-04-01,456-april_2008
278,,MORGAN LAW,,Temporary Agency Staff Costs,,2044.50,2008-04-01,455-april_2008
279,,MORGAN LAW,,Temporary Agency Staff Costs,,2044.50,2008-04-01,454-april_2008
